Acre,Land_Planting,Strate_Fertilizer,Liquid_Fertilizer,Fungicide,Insecticide,Others,Area,KG,Total_Expenses,Investment,Estimated_Yield,Revenue,Profit,Is_Profitable
1,48000,156640,9872,47372,25538,9050,ampara,4971,296472,60000,838.3591030518903,83835.91030518903,23835.910305189027,True
1,44000,158900,9932,47600,21638,9950,bakamuna,2313,292020,60000,396.03451818368603,39603.4518183686,-20396.5481816314,False
1,46000,157250,9870,49902,23638,9050,dehiaththakandiya,1793,295710,60000,303.1686449562071,30316.864495620714,-29683.135504379286,False
1,47000,130200,11630,48030,24600,11000,girithale,4600,272460,60000,844.1606107318505,84416.06107318505,24416.061073185047,True
1,49200,145806,8950,49560,27650,9530,Kandakatiya,1238,290696,60000,212.93722651842472,21293.722651842472,-38706.27734815753,False
1,52000,159560,9600,48600,22660,12605,kanthale,3356,305025,60000,550.11884271781,55011.884271781004,-4988.115728218996,False
1,51800,139000,10400,51200,26450,9280,mahiyanganaya,1718,288130,60000,298.129316627911,29812.9316627911,-30187.0683372089,False
1,45700,148400,15600,50300,28650,13560,medirigiriya,6798,302210,60000,1124.7146024287747,112471.46024287747,52471.46024287747,True
1,48820,150742,8946,48043,26411,9706,monaragala,205,292668,60000,35.02261948692717,3502.261948692717,-56497.738051307286,False
1,46460,150902,11884,48007,28343,12461,morawewa,1015,298057,60000,170.26944510613743,17026.944510613743,-42973.05548938626,False
1,41700,151707,8065,48715,25728,11447,nikaweratiya,1149,287362,60000,199.92204954030106,19992.204954030105,-40007.79504596989,False
1,50000,151864,8524,49480,23072,10107,girithale,9785,293047,60000,1669.527413691319,166952.7413691319,106952.7413691319,True
1,46200,148207,10090,48477,25257,12424,kanthale,2231,290655,60000,383.78834012833084,38378.83401283308,-21621.165987166918,False
1,51460,154795,12482,50370,30103,10475,mahiyanganaya,1692,309685,60000,273.1808127613543,27318.08127613543,-32681.91872386457,False
1,44260,147717,11375,49765,28335,10247,ampara,4650,291699,60000,797.054497958512,79705.4497958512,19705.449795851193,True
1,48830,150403,11946,51821,25300,11377,dehiaththakandiya,2149,299677,60000,358.5527084160613,35855.27084160613,-24144.72915839387,False
1,49200,147245,11407,50024,23543,10660,mahiyanganaya,1195,292079,60000,204.56794223480634,20456.794223480632,-39543.20577651937,False
1,45800,148465,10693,48512,22548,7304,monagala ,1716,283322,60000,302.8356428374782,30283.56428374782,-29716.43571625218,False
1,49250,142663,9160,50052,24220,6857,ampara,3013,282202,60000,533.8374639442669,53383.74639442669,-6616.253605573307,False
1,50800,167441,8912,47742,22592,8797,ampara,3886,306284,60000,634.3785506262162,63437.855062621624,3437.855062621624,True
1,47205,158927,11782,48866,22589,12028,monaragala,960,301397,60000,159.2583867788996,15925.838677889958,-44074.16132211004,False
1,45000,154507,13152,49302,29541,10674,ampara,2313,302176,60000,382.7239754315366,38272.39754315366,-21727.60245684634,False
1,48780,141176,11009,48603,24447,7650,kanthale,3266,281665,60000,579.7667441819183,57976.674418191826,-2023.3255818081743,False
1,47900,155816,10752,48831,22388,10723,ampara,3360,296410,60000,566.7824972166931,56678.24972166931,-3321.750278330692,False
1,48200,145589,8426,47411,22624,10959,dehiaththakandiya,1934,283209,60000,341.4439512868588,34144.39512868588,-25855.60487131412,False
1,45490,154410,10261,46519,23156,11953,mahiyanganaya,2352,291789,60000,403.0309573013376,40303.09573013376,-19696.904269866238,False
1,48530,145606,11101,48570,29096,12661,ampara,3592,295564,60000,607.6518114520037,60765.18114520037,765.1811452003676,True
1,44480,156170,12323,47812,24227,9141,kanthale,3270,294153,60000,555.8331888507001,55583.31888507002,-4416.681114929983,False
1,48890,151726,13544,49127,27095,11514,ampara,4749,301896,60000,786.5291358613562,78652.91358613562,18652.91358613562,True
1,46400,155685,11553,48896,29656,11062,bakamuna,2977,303252,60000,490.84589714165116,49084.589714165115,-10915.410285834885,False
1,49050,158321,13713,48307,23996,8209,dehiaththakandiya,4126,301596,60000,684.0276396238677,68402.76396238677,8402.763962386773,True
1,47237,138929,12294,48114,27133,10162,girithale,1457,283869,60000,256.6324607477393,25663.246074773928,-34336.753925226076,False
1,46698,138626,12517,50383,28034,12844,Kandakatiya,2368,289102,60000,409.5440363608692,40954.40363608692,-19045.59636391308,False
1,45210,154568,9302,49520,26907,11160,kanthale,3794,296667,60000,639.4374837781081,63943.748377810814,3943.7483778108144,True
1,48852,156693,8485,48110,24813,9406,mahiyanganaya,1975,296359,60000,333.2107342783583,33321.07342783583,-26678.92657216417,False
1,47360,144497,15029,49072,26515,9829,medirigiriya,5963,292302,60000,1020.0067053937366,102000.67053937366,42000.67053937366,True
1,44490,138851,11042,47745,25872,9682,monaragala,2494,277682,60000,449.0748410051786,44907.48410051786,-15092.51589948214,False
1,46000,154880,15175,48933,25992,11907,morawewa,4576,302887,60000,755.3972273488133,75539.72273488133,15539.722734881332,True
1,46500,143138,12859,50450,24275,12210,nikaweratiya,3861,289432,60000,666.9960474308301,66699.60474308301,6699.604743083008,True
1,49600,161632,12385,47830,25288,10255,girithale,2146,306990,60000,349.5227857584938,34952.27857584938,-25047.721424150623,False
1,44865,143799,9968,52548,23438,11719,kanthale,1367,286337,60000,238.70474301260404,23870.474301260405,-36129.5256987396,False
1,49570,179042,11027,49803,22703,14206,mahiyanganaya,2657,326351,60000,407.0770428158639,40707.70428158639,-19292.29571841361,False
1,51680,137546,9240,49684,26512,9916,ampara,4321,284578,60000,759.1943157939123,75919.43157939124,15919.43157939124,True
1,44862,141569,7101,48711,23320,13779,dehiaththakandiya,2693,279342,60000,482.02561734361467,48202.561734361465,-11797.438265638535,False
1,45731,153463,13069,49979,21284,12550,mahiyanganaya,3871,296076,60000,653.717288804226,65371.7288804226,5371.728880422597,True
1,45415,150374,8320,49968,24027,9316,monagala,3689,287420,60000,641.7437895762299,64174.37895762299,4174.37895762299,True
1,45550,142195,10629,48363,21293,9912,ampara,4356,277942,60000,783.6167257917119,78361.6725791712,18361.672579171194,True
1,46765,153242,10337,48794,24092,11968,ampara,2917,295198,60000,494.0751631108612,49407.51631108612,-10592.483688913882,False
1,50822,150285,7894,47829,25862,9696,monaragala,2153,292388,60000,368.17516450743534,36817.51645074353,-23182.483549256467,False
1,48310,152897,11858,50707,26636,10297,ampara,3854,300705,60000,640.8273889692556,64082.73889692556,4082.7388969255626,True
1,45728,151767,9221,49727,27946,7103,kanthale,2923,291492,60000,501.385972856888,50138.5972856888,-9861.402714311203,False
1,48706,147245,9171,47900,28117,9721,ampara,3756,290860,60000,645.6714570583787,64567.145705837866,4567.1457058378655,True
1,48370,159889,9341,49739,26075,11431,dehiaththakandiya,1489,304845,60000,244.22247371615083,24422.24737161508,-35577.752628384915,False
1,47678,160355,12220,50612,26509,10144,mahiyanganaya,1538,307518,60000,250.06666276445605,25006.666276445605,-34993.333723554395,False
